('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         455445 function calls (440261 primitive calls) in 1.553 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
    135/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      133    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      133    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      133    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      131    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      129    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      128    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      125    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
      125    0.000    0.000    0.005    0.000 sre_parse.py:97(closegroup)
  121/104    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      119    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      113    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      106    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    106/3    0.000    0.000    0.157    0.052 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    106/3    0.000    0.000    0.157    0.052 <frozen importlib._bootstrap>:1022(_find_and_load)
      105    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
      105    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      105    0.000    0.000    0.000    0.000 _virtualenv.py:51(find_spec)
      105    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      105    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      103    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      103    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      103    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      100    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      100    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    100/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap>:664(_load_unlocked)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       98    0.001    0.000    0.002    0.000 sre_compile.py:516(_get_charset_prefix)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       98    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       90    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       90    0.000    0.000    0.002    0.000 typing.py:1016(__init__)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       87    0.000    0.000    0.000    0.000 typing.py:1142(<genexpr>)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       86    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       84    0.000    0.000    0.000    0.000 typing.py:1241(__eq__)
       80    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       80    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
     80/1    0.000    0.000    1.553    1.553 {built-in method builtins.exec}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       79    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     79/4    0.000    0.000    0.156    0.039 <frozen importlib._bootstrap_external>:877(exec_module)
       79    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       79    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
       79    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       78    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
       77    0.000    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 element.py:1363(_all_strings)
       73    0.000    0.000    0.000    0.000 element.py:388(_last_descendant)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:107(handle_startendtag)
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       68    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       64    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       63    0.000    0.000    0.001    0.000 typing.py:1146(copy_with)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       58    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
       58    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       56    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       56    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:646(_validate_hash_pyc)
       54    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
       53    0.000    0.000    0.000    0.000 re.py:269(escape)
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.016    0.001 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
       50    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       45    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       45    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
    43/26    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       41    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       40    0.000    0.000    0.000    0.000 typing.py:1233(<genexpr>)
